products,n_bgc
NRPS;T1PKS;T2PKS,1
NRPS-like;ranthipeptide,1
NRPS-like;lanthipeptide-class-i,1
T3PKS;terpene;NRPS,1
T3PKS;siderophore;RiPP-like,1
betalactone;redox-cofactor,1
betalactone;ranthipeptide,1
betalactone;arylpolyene,1
betalactone;T2PKS;siderophore,1
betalactone;T2PKS,1
betalactone;T1PKS;NRPS-like,1
betalactone;NRPS-like;T1PKS,1
amglyccycl;T1PKS;PKS-like,1
acyl_amino_acids;NRPS,1
T3PKS;transAT-PKS;T1PKS;NRPS,1
T3PKS;transAT-PKS;NRPS,1
T3PKS;thioamitides,1
T3PKS;betalactone;NRPS;T1PKS,1
T3PKS;acyl_amino_acids,1
T3PKS;RiPP-like;butyrolactone,1
T3PKS;PKS-like;transAT-PKS-like,1
T3PKS;PKS-like;transAT-PKS,1
T3PKS;PKS-like;T1PKS;terpene,1
T3PKS;NRPS;terpene,1
T3PKS;NRPS;T1PKS,1
ectoine;T1PKS;NRPS,1
ectoine;CDPS,1
cyclic-lactone-autoinducer;RRE-containing,1
cyclic-lactone-autoinducer;NRPS-like,1
butyrolactone;terpene,1
bottromycin,1
betalactone;terpene;other;ladderane,1
betalactone;siderophore,1
T2PKS;oligosaccharide;other,1
T2PKS;ladderane,1
T2PKS;hglE-KS;T1PKS;NRPS;lanthipeptide-class-i;lanthipeptide-class-ii,1
T2PKS;hglE-KS;T1PKS,1
T2PKS;butyrolactone;NRPS;other;T1PKS,1
T2PKS;T3PKS;terpene,1
hglE-KS;NRPS;T1PKS;NRPS-like,1
furan;lassopeptide,1
furan;butyrolactone,1
furan;betalactone;ladderane;butyrolactone,1
furan;NAPAA,1
ectoine;lanthipeptide-class-iii;RiPP-like,1
ectoine;hserlactone,1
ectoine;butyrolactone;NRPS;NRPS-like,1
T3PKS;hserlactone,1
T3PKS;hglE-KS,1
NRPS-like;cyanobactin;NRPS,1
NRPS-like;butyrolactone;RiPP-like,1
NRPS-like;betalactone;NRPS,1
NRPS-like;arylpolyene;terpene,1
NRPS-like;T3PKS;NRPS,1
NRPS-like;T1PKS;terpene,1
NRPS-like;T1PKS;NRPS;hserlactone,1
hglE-KS;T1PKS;betalactone,1
hglE-KS;T1PKS;PUFA,1
hglE-KS;T1PKS;NRPS,1
T2PKS;T3PKS,1
T2PKS;RRE-containing;T1PKS;PKS-like,1
T2PKS;PKS-like;ectoine,1
T3PKS;NRPS-like;T1PKS,1
T2PKS;thiopeptide;T1PKS;LAP;NRPS,1
T2PKS;phenazine,1
T1PKS;prodigiosin,1
T1PKS;other;oligosaccharide,1
T1PKS;other;butyrolactone,1
T1PKS;oligosaccharide;hglE-KS;other,1
T1PKS;oligosaccharide;NRPS-like,1
T1PKS;lassopeptide,1
T1PKS;butyrolactone;PKS-like;LAP,1
hserlactone;phosphonate,1
hserlactone;lassopeptide;RiPP-like,1
hserlactone;lanthipeptide-class-iii,1
hserlactone;ectoine,1
hserlactone;RRE-containing,1
hglE-KS;lassopeptide,1
hglE-KS;butyrolactone,1
hglE-KS;T3PKS,1
NRPS-like;ectoine,1
ladderane;T1PKS;other,1
ladderane;T1PKS;T3PKS,1
ladderane;T1PKS,1
ladderane;RRE-containing;NRPS-like;NRPS,1
ladderane;NRPS-like;NRPS;arylpolyene,1
indole;NRPS-like;lassopeptide;T3PKS;phenazine,1
indole;NRPS-like;lassopeptide;T3PKS;other;phenazine;terpene,1
indole;NRPS-like;NRPS;PKS-like,1
indole;NRPS-like,1
indole;NRPS,1
indole;NAPAA,1
T1PKS;arylpolyene,1
T1PKS;T2PKS;PKS-like,1
T1PKS;NRPS;thioamitides,1
T1PKS;NRPS;resorcinol,1
T1PKS;ranthipeptide,1
T1PKS;NRPS;acyl_amino_acids;NRPS-like;hserlactone,1
T1PKS;NRPS;T3PKS,1
T1PKS;NRPS;LAP,1
T1PKS;NRPS-like;transAT-PKS-like;NRPS,1
T1PKS;NRPS-like;transAT-PKS-like,1
T1PKS;NRPS-like;terpene,1
lanthipeptide-class-i;lanthipeptide-class-iv,1
lanthipeptide-class-i;T1PKS;NRPS-like;NRPS,1
lanthipeptide-class-i;NRPS;lanthipeptide-class-ii;terpene,1
lanthipeptide-class-i;NRPS;lanthipeptide-class-ii;hglE-KS,1
lanthipeptide-class-i;NRPS;lanthipeptide-class-ii,1
ladderane;other;terpene;betalactone,1
ladderane;hserlactone,1
ladderane;butyrolactone;hserlactone,1
ladderane;butyrolactone,1
ladderane;arylpolyene;butyrolactone;hserlactone,1
lanthipeptide-class-iv;terpene,1
lanthipeptide-class-iv;lanthipeptide-class-ii;T1PKS,1
lanthipeptide-class-iv;lanthipeptide-class-ii,1
lanthipeptide-class-iv;RiPP-like,1
lanthipeptide-class-iv;LAP,1
lanthipeptide-class-iii;terpene,1
lanthipeptide-class-iii;RRE-containing,1
lanthipeptide-class-ii;lanthipeptide-class-iii,1
lanthipeptide-class-ii;T1PKS,1
lanthipeptide-class-ii;RiPP-like,1
lanthipeptide-class-i;lassopeptide,1
T1PKS;NRPS;other,1
T1PKS;NRPS;lanthipeptide-class-iv,1
T1PKS;NRPS;lanthipeptide-class-ii;NRPS-like,1
T1PKS;NRPS;ectoine,1
T1PKS;NRPS;betalactone,1
T1PKS;NRPS-like;NRPS;T3PKS;other,1
T1PKS;NAPAA,1
T1PKS;NAGGN,1
RiPP-like;transAT-PKS;PKS-like,1
RiPP-like;other;phosphonate,1
RiPP-like;ectoine,1
lassopeptide;T3PKS,1
lassopeptide;T2PKS,1
lassopeptide;NRPS;hserlactone,1
lassopeptide;NRPS-like,1
lassopeptide;NAGGN;RiPP-like,1
lanthipeptide-class-v;RiPP-like,1
lanthipeptide-class-v;NRPS-like,1
lanthipeptide-class-v;NRPS,1
lanthipeptide-class-v;LAP,1
lanthipeptide-class-iv;thiopeptide;LAP,1
RiPP-like;arylpolyene,1
RiPP-like;NRPS-like;butyrolactone,1
RRE-containing;lassopeptide;hserlactone,1
RRE-containing;cyclic-lactone-autoinducer,1
NRPS-like;PKS-like;transAT-PKS;NRPS,1
NRPS-like;PKS-like,1
NRPS-like;NRPS;transAT-PKS,1
NRPS-like;NRPS;siderophore;PKS-like,1
NRPS-like;NRPS;lanthipeptide-class-v,1
lassopeptide;terpene,1
lassopeptide;lanthipeptide-class-ii,1
lassopeptide;ectoine,1
T1PKS;NRPS-like;prodigiosin,1
T1PKS;NRPS-like;lassopeptide,1
T1PKS;NRPS-like;aminocoumarin;NRPS;nucleoside,1
T1PKS;NRPS-like;T3PKS,1
PKS-like;arylpolyene,1
PKS-like;amglyccycl,1
NRPS;NRPS-like;linaridin,1
NRPS;NRPS-like;ladderane,1
NRPS;NRPS-like;cyanobactin,1
NRPS;NRPS-like;butyrolactone,1
oligosaccharide;RRE-containing,1
nucleoside;other;NAPAA,1
nucleoside;other,1
nucleoside;NRPS-like,1
melanin;terpene,1
melanin;NRPS,1
linaridin;terpene,1
linaridin;T1PKS;butyrolactone;other,1
NRPS-like;RiPP-like;RRE-containing,1
RiPP-like;betalactone,1
other;phenazine;terpene,1
other;T3PKS,1
other;T1PKS;terpene,1
other;NRPS;nucleoside,1
other;NRPS;NRPS-like,1
other;NRPS-like,1
oligosaccharide;terpene,1
oligosaccharide;T2PKS;NRPS,1
oligosaccharide;T1PKS;terpene,1
oligosaccharide;T1PKS;hglE-KS,1
oligosaccharide;T1PKS,1
RRE-containing;T2PKS,1
RRE-containing;NRPS;RiPP-like,1
RRE-containing;LAP;RiPP-like,1
PUFA,1
PKS-like;transAT-PKS,1
NRPS;LAP;RiPP-like,1
NRPS;LAP;NRPS-like,1
NRPS-like;transAT-PKS;PKS-like,1
PKS-like;T3PKS;transAT-PKS,1
PKS-like;T1PKS;oligosaccharide;thiopeptide;LAP,1
PKS-like;T1PKS;NRPS-like;transAT-PKS-like;NRPS,1
prodigiosin,1
phosphonate;lanthipeptide-class-ii,1
phosphonate;NRPS-like,1
phosphoglycolipid,1
phenazine;ladderane;NRPS,1
phenazine;hserlactone,1
phenazine;PKS-like;butyrolactone,1
other;transAT-PKS;NRPS;T1PKS;PKS-like,1
other;thiopeptide;LAP,1
other;phosphonate,1
NRPS-like;NRPS;RiPP-like,1
NRPS-like;NRPS;RRE-containing;lassopeptide,1
NRPS-like;NRPS;PKS-like,1
NRPS-like;NRPS;NAPAA,1
NRPS-like;NRPS;LAP;thiopeptide,1
ranthipeptide;lanthipeptide-class-ii,1
proteusin;lanthipeptide-class-ii,1
prodigiosin;NRPS-like;NRPS,1
PKS-like;NRPS;T1PKS;NRPS-like,1
PKS-like;NRPS;NRPS-like;siderophore,1
PKS-like;LAP;butyrolactone;T1PKS,1
PKS-like;LAP,1
NRPS;transAT-PKS;T3PKS,1
NRPS;transAT-PKS;T1PKS,1
NRPS;transAT-PKS;PKS-like,1
NRPS;NRPS-like;T1PKS;hserlactone,1
NRPS;thioamitides;RRE-containing,1
NRPS;thioamide-NRP,1
NRPS;terpene;siderophore,1
NRPS;redox-cofactor,1
NRPS;prodigiosin,1
NRPS;phosphonate,1
